,Unnamed: 0,song_name,song_id,song_genre,url,artist,artist_id,artist_genre,release_date,duration_ms,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms_,time_signature,lyrics
775,775,Tomahawk - Original Mix,4WIXiJVpULdTIVDtOANKwG,electronic,https://open.spotify.com/track/4WIXiJVpULdTIVDtOANKwG,"['BT', 'Adam K']","['64MoFdq8ORI3V98AR5SPWL', '0A8ej3hXTozbQAMhcU8RNb']","[['edm', 'pop dance', 'progressive house', 'progressive trance', 'trance', 'uplifting trance'], ['canadian electronic']]",2011-10-31,547056,23,0.748,0.745,10,-7.002000000000001,0,0.0483,0.0010400000000000001,0.845,0.139,0.233,130.014,547057,4,lyrics not found
776,776,Fineshrine,5KeyVNymqfqac1wLDseK8v,electronic,https://open.spotify.com/track/5KeyVNymqfqac1wLDseK8v,Purity Ring,1TtJ8j22Roc24e2Jx3OcU4,"['art pop', 'canadian electropop', 'chillwave', 'edmonton indie', 'electropop', 'grave wave', 'indietronica', 'metropopolis', 'shimmer pop']",2012-07-23,209760,1,0.609,0.7979999999999999,5,-4.448,0,0.0404,0.018000000000000002,8.68e-06,0.434,0.401,130.034,209760,4,"Get a little closer, let fold
Cut open my sternum and pull
My little ribs around you
The rungs of me be under, under you

I'll cut the soft pockets, let bleed
Over the rocky cliffs that you leap
To peer over and not forget what feet are
Splitting threads of thunder over me

That I might see with my chest and sink
Into the edges round you
Into the lakes and quarries that brink
On all the edges round you, round you, round you

Get a little closer, let fold
...

******* This Lyrics is NOT for Commercial use *******
(1409622095821)"
777,777,"The Grid - From ""TRON: Legacy""/Score",4Bvxi5oUS3M4DezTfsd5pp,electronic,https://open.spotify.com/track/4Bvxi5oUS3M4DezTfsd5pp,Daft Punk,4tZwfgrHOc3mvqYlEYSvVi,"['electro', 'filter house']",2010-12-03,96746,44,0.5479999999999999,0.496,1,-13.466,1,0.0355,0.302,0.135,0.321,0.0973,102.06200000000001,96747,5,"The Grid.
A digital frontier.
...

******* This Lyrics is NOT for Commercial use *******
(1409622095821)"
778,778,Better Off Without You,6lXwz6fRgh5kOJEuqjSoG2,electronic,https://open.spotify.com/track/6lXwz6fRgh5kOJEuqjSoG2,Summer Camp,687094MtNCTh262Otm1LOD,['uk alternative pop'],2013-06-09,187579,0,0.41700000000000004,0.7140000000000001,8,-6.45,1,0.0378,0.00013000000000000002,0.0,0.706,0.364,159.899,187579,4,"Stop callin' me late at night,
To talk about what's wrong,
I don't care anymore,
You waved that right so long,
It's so annoying when you whine,
You were always wasting my time,
I used to care and want you back,
But now I think you're going off track,
And if you said you're never comin' back,
I'd Be so happy, I'd Be so happy,
I'd laugh the whole night long.

I'm better off without you,
We both know that it's true,
I'm better off without you,
Stop calling me, you gotta stop callin',
...

******* This Lyrics is NOT for Commercial use *******
(1409622095821)"
779,779,Wildcat,4EBisBBehGON4ESJsNZBsP,electronic,https://open.spotify.com/track/4EBisBBehGON4ESJsNZBsP,Ratatat,57dN52uHvrHOxijzpIgu3E,"['alternative dance', 'electronica', 'indietronica', 'new rave']",2006-08-22,260173,1,0.703,0.718,1,-7.522,1,0.0669,0.0479,0.43200000000000005,0.0415,0.785,115.993,260173,4,
780,780,Burning,6qbTcovmmIYNmTqHCbPIWn,electronic,https://open.spotify.com/track/6qbTcovmmIYNmTqHCbPIWn,"['Adrian Lux', 'Dante']","['5kp9Qhzri9LrDkzrtjt5Sh', '2oxJZL6XqWppORIFAiQZ4V']","[['edm', 'progressive electro house'], []]",2012-01-01,224280,21,0.521,0.865,0,-5.26,1,0.0403,0.0116,3.8900000000000004e-05,0.67,0.307,127.99600000000001,224280,4,lyrics not found
781,781,Every Teardrop Is A Waterfall (Coldplay Vs. Swedish House Mafia),5J8m6w5VmswbMBYUAFf44t,electronic,https://open.spotify.com/track/5J8m6w5VmswbMBYUAFf44t,"['Coldplay', 'Swedish House Mafia']","['4gzpq5DPGxSnKTe4SA8HAU', '1h6Cn3P4NGzXbaXidqURXs']","[['permanent wave', 'pop'], ['dance pop', 'edm', 'electro house', 'pop', 'pop dance', 'progressive electro house']]",2012-01-01,408828,48,0.631,0.871,9,-5.702999999999999,1,0.0585,0.0006349999999999999,0.00775,0.545,0.293,125.022,408829,4,"Turn the music up
Turn the music up
Turn the music up
Turn the music up
Turn the music up
Turn the music up
Turn the music up

Turn the music up
Turn the music up
Turn the music up
Turn the music up
Turn the music up

Turn the music up
Turn the music up
Turn the music up
Turn the music up
Turn the music up

Turn the music up
Turn the music up
Turn the music up
Turn the music up
Turn the music up
Turn the music up
I turn the music up

I turn the music up, I got my records on
I shut the world outside until the lights come on
Maybe the streets alight, maybe the trees are gone
But I feel my heart start beating to my favourite song
...

******* This Lyrics is NOT for Commercial use *******
(1409622095821)"
782,782,Last Night I Heard Everything In Slow Motion,0RCxW4hG2hiItbRUqz3LsV,electronic,https://open.spotify.com/track/0RCxW4hG2hiItbRUqz3LsV,Oliver Tank,0YnqxF8FNAMagpmi2T1UjJ,['shimmer pop'],2011-11-21,224500,0,0.608,0.462,7,-13.002,1,0.0458,0.237,0.904,0.105,0.115,75.07,224500,4,"You said it would be alright
You said it would be alright
But I just don't know
You said it would be alright
But I just don't know
...

******* This Lyrics is NOT for Commercial use *******
(1409622095821)"
783,783,Xtal,5ULcHWDMA3GKd9Ib4pUSh6,electronic,https://open.spotify.com/track/5ULcHWDMA3GKd9Ib4pUSh6,Aphex Twin,6kBDZFXuLrZgHnvmPu9NsG,"['ambient', 'braindance', 'electronica', 'intelligent dance music', 'uk experimental electronic']",1992,293751,0,0.51,0.505,9,-13.052999999999999,0,0.0344,0.342,0.96,0.11699999999999999,0.318,114.53200000000001,293752,4,
784,784,Eyes on Fire - Zeds Dead RMX,4oZNnBytvWrddsoaFPO4RD,electronic,https://open.spotify.com/track/4oZNnBytvWrddsoaFPO4RD,Blue Foundation,1FWybrAwiSa0zKibdLfZZr,"['dream pop', 'electronica']",2011-07-20,320000,0,0.5670000000000001,0.725,11,-6.4639999999999995,1,0.141,0.00926,0.0011,0.147,0.306,144.69299999999998,320000,4,"I won't soothe your pain
I won't ease your strain
I'll seek you out,
Flay you alive
One more word and you wont survive
And I'm not scared of your stolen power
See right through you any hour

I'll seek you out,
Flay you alive
...

******* This Lyrics is NOT for Commercial use *******
(1409622095821)"
785,785,Booty Call (A Bit Rude),5BYjiKMi2Ogg66rdhbvjxR,electronic,https://open.spotify.com/track/5BYjiKMi2Ogg66rdhbvjxR,The Midnight Beast,7gYnCef01fcPbk3QiFRIGF,['comic'],2011-07-29,216162,17,0.5920000000000001,0.7,0,-4.749,1,0.138,0.0426,0.0,0.0949,0.9420000000000001,160.016,216163,4,"I'm with my friends having a sleepover at mine
Mum said lights off but they're still on at half nine
There's nothing gay bout doing nails and doing hair
There's nothing gay bout three boys playing truth or dare
That's when my brush vibrated right between my legs
To my surprise it was my phone instead
Dru makes an interception,
Grabs my phone out my hand,
""Hello you've reached The Midnight Beast,
You're ruining our plans""

B-DOUBLE-O-T-Y
It's three over average girls
Calling three under average guys
We're fucked up and we're ready to play
We wanna do things we'll regret the next day

HEY
NO! I wanna play cluedo with my bro's
NO! I wanna paint rainbows on my toes
NO! I don't wanna ho, I want a comforting look
When Noah kisses Allie in The Notebook

BOOTY, BOOTY
It's just a booty call
BOOTY, BOOTY
Even if you're boo-tee-full
HEY, HEY
It's just a booty call
HEY, HEY

Now my phones on silent
They still call on private number
I can't believe this desperation to disturb my slumber
Party, I'm in my dressing gownie
...

******* This Lyrics is NOT for Commercial use *******
(1409622095821)"
786,786,Waves At Night,67uvzfFLU3MZXX8348aA46,electronic,https://open.spotify.com/track/67uvzfFLU3MZXX8348aA46,Moons,0XByen1sxlvgnxu8f0tMsd,[],2012-05-28,310266,8,0.27699999999999997,0.461,2,-11.277000000000001,1,0.0331,0.894,0.037000000000000005,0.366,0.221,120.87,310267,3,lyrics not found
787,787,Levels - Radio Edit,0JhKJg5ejeQ8jq89UQtnw8,electronic,https://open.spotify.com/track/0JhKJg5ejeQ8jq89UQtnw8,Avicii,1vCWHaC5f2uS3yhpwWbIA6,"['dance pop', 'edm', 'pop', 'pop dance']",2011-01-01,199903,0,0.62,0.8809999999999999,1,-5.851,0,0.0372,0.0585,0.7140000000000001,0.311,0.415,126.035,199904,4,"Oh, sometimes
I get a good feeling, yeah
Get a feeling that I never, never
Never, never had before, no, no
...

******* This Lyrics is NOT for Commercial use *******
(1409622095821)"
788,788,Radioactive,4G8gkOterJn0Ywt6uhqbhp,electronic,https://open.spotify.com/track/4G8gkOterJn0Ywt6uhqbhp,Imagine Dragons,53XhwfbYqKCa1cC15pYq2q,"['modern rock', 'pop', 'rock']",2012-09-04,186813,72,0.44799999999999995,0.784,9,-3.6860000000000004,1,0.0627,0.106,0.00010800000000000001,0.6679999999999999,0.23600000000000002,136.245,186813,4,"I'm waking up to ash and dust
I wipe my brow, and I sweat my rust
I'm breathing in the chemicals (yeah, ah)

I'm breaking in, shaping up
Then checking out on the prison bus
This is it, the apocalypse
Whoa

I'm waking up
I feel it in my bones
Enough to make my system blow
Welcome to the new age, to the new age
Welcome to the new age, to the new age

Whoa-oh-oh-oh, oh
Whoa-oh-oh-oh, I'm
Radioactive, radioactive
Whoa-oh-oh-oh, oh
Whoa-oh-oh-oh, I'm
Radioactive, radioactive
...

******* This Lyrics is NOT for Commercial use *******
(1409622095821)"
789,789,Charlotte,6faLw9bLZ21Y6BDBeOUfF8,electronic,https://open.spotify.com/track/6faLw9bLZ21Y6BDBeOUfF8,Booka Shade,2CKaDZ1Yo8YnWega9IeUzB,"['alternative dance', 'electronica', 'frankfurt electronic', 'german techno', 'microhouse', 'minimal techno', 'organic house', 'tech house']",2008-08-19,271466,0,0.691,0.7509999999999999,7,-9.838,0,0.0465,0.0051,0.8079999999999999,0.34,0.544,126.005,271467,4,lyrics not found
790,790,Right This Second,1jikEfVwDhMVo4itxekCRp,electronic,https://open.spotify.com/track/1jikEfVwDhMVo4itxekCRp,deadmau5,2CIMQHirSU0MQqyYHq0eOx,"['canadian electronic', 'edm', 'electro house', 'pop dance', 'progressive house']",2010-12-03,470374,0,0.645,0.922,10,-7.837999999999999,0,0.0825,0.0148,0.8740000000000001,0.0638,0.0275,192.035,470375,3,
791,791,Feel It All Around,0BJTbkmrB2Y4E9M8qVzbYZ,electronic,https://open.spotify.com/track/0BJTbkmrB2Y4E9M8qVzbYZ,Washed Out,5juOkIIy18sFw9L30syt1Z,"['alternative dance', 'chillwave', 'dream pop', 'indie pop', 'indie rock', 'indie soul', 'indietronica', 'neo-synthpop', 'new rave', 'shimmer pop']",2010-03-01,192080,0,0.34,0.737,8,-4.681,1,0.0582,0.000105,0.762,0.0699,0.499,172.02200000000002,192080,4,"You feel it all around yourself
You know it's yours and no one else
You feel the thought of love again
It's all right
...

******* This Lyrics is NOT for Commercial use *******
(1409622095821)"
792,792,When A Fire Starts To Burn,6eNQBntWe7hh6N0h62tRcg,electronic,https://open.spotify.com/track/6eNQBntWe7hh6N0h62tRcg,Disclosure,6nS5roXSAGhTGr34W6n7Et,"['house', 'pop', 'uk dance']",2013-01-01,283705,0,0.621,0.746,7,-6.966,1,0.22,0.0094,0.0007639999999999999,0.23399999999999999,0.6759999999999999,123.921,283706,4,"When a fire starts to burn, right, and it starts to spread
She gon' bring that attitude home
People don't wanna do nothing, what they like
When a fire starts to burn, right, and it starts to spread
She gon' bring that attitude home
People don't wanna do nothing, what they like
When a fire starts to burn, right, and it starts to spread
She gon' bring that attitude home
People don't wanna do nothing, what they like
When a fire starts to burn, right, and it starts to spread
She gon' bring that attitude home
People don't wanna do nothing, what they like
When a fire starts to

When a fire starts to

When a fire starts to burn, right, and it starts to spread
She gon' bring that attitude home
People don't wanna do nothing, what they like
When a fire starts to burn, right, and it starts to spread
She gon' bring that attitude home
People don't wanna do nothing, what they like
When a fire starts to burn, right, and it starts to spread
She gon' bring that attitude home
People don't wanna do nothing, what they like

When a fire starts to burn, right, and it starts to spread
She gon' bring that attitude home
People don't wanna do nothing, what they like
...

******* This Lyrics is NOT for Commercial use *******
(1409622095821)"
