,song_name,song_id,song_genre,artist,artist_id,artist_genre,release_date,duration_ms,popularity
7,Evans Shuffle,2pgKtMadiwYFRHHSV9uoYd,blues,Little Walter,22JuR9OeENcP54XN5TlNWS,"['acoustic blues', 'blues', 'chicago blues', 'electric blues', 'harmonica blues', 'louisiana blues', 'rock-and-roll', 'traditional blues']",2009-01-01,132146,0
8,Built For Comfort,30D7yws1hPAgVAwhaKFggf,blues,Howlin' Wolf,0Wxy5Qka8BN9crcFkiAxSR,"['acoustic blues', 'blues', 'blues rock', 'chicago blues', 'classic rock', 'delta blues', 'harmonica blues', 'memphis blues', 'soul', 'traditional blues']",2003-01-01,157199,0
9,Tears in Heaven,7utRJ4BeYx85khzP3lKoBX,blues,Eric Clapton,6PAt558ZEZl0DmdXlnjMgD,"['album rock', 'blues rock', 'classic rock', 'electric blues', 'mellow gold', 'rock', 'soft rock']",1999-10-12,271760,62
10,Wild Honey,42x0aq3vbHnpkk9Go4oB8n,blues,Hugh Laurie,5WM5zPOswRcPu07rxP2dQv,['comic'],2013-04-29,260839,24
11,You Can't Lose What You Ain't Never Had,7GCC5Nq4gnImhyMeqULoi3,blues,Muddy Waters,4y6J8jwRAwO4dssiSmN91R,"['blues', 'blues rock', 'chicago blues', 'classic rock', 'electric blues', 'soul', 'traditional blues']",1964,179760,0
12,Baby Won't You Please Come Home,0MRBYaGjqFt5m5n3auypy4,blues,Bessie Smith,5ESobCkc6JI4tIMxQttqeg,"['blues', 'harlem renaissance', 'jazz blues', 'traditional blues']",1923,175226,0
13,Something Inside Of Me,2Vi98QoGNjD33j9EffSWFZ,blues,Elmore James,0q9kpdDkEA3H17gcRMjgVS,"['blues', 'blues rock', 'chicago blues', 'delta blues', 'electric blues', 'rock-and-roll', 'traditional blues']",2006-06-28,300826,0
14,How Blue Can You Get,7aEpweOrSg9OCucFkMPf5R,blues,B.B. King,5xLSa7l4IV1gsQfhAMvl0U,"['blues', 'blues rock', 'classic rock', 'electric blues', 'jazz blues', 'soul blues', 'traditional blues']",2010-06-08,202427,0
15,Saint James Infirmary,4ccdgqrPG8n28V0FWnWWL9,blues,Snooks Eaglin,4ReGayOtLkcAsNi6d2n7LS,"['acoustic blues', 'blues', 'louisiana blues', 'new orleans blues', 'traditional blues']",2005-08-30,143520,40
16,Chill Out (Things Gonna Change),7gTWkEVwRiqrrLRcmtD0uH,blues,John Lee Hooker,1yNOfXGQNGjAynk77wv85x,"['blues', 'blues rock', 'classic rock', 'delta blues', 'electric blues', 'memphis blues', 'soul', 'traditional blues']",1995,285733,0
17,Tin Pan Alley (AKA Roughest Place in Town),7zto61V8ySp03Qi6X1LU2X,blues,Stevie Ray Vaughan,5fsDcuclIe8ZiBD5P787K1,"['album rock', 'blues', 'blues rock', 'classic rock', 'electric blues', 'instrumental rock', 'modern blues', 'rock', 'texas blues']",1984,551786,54
18,Decoration Day,1YDtm9A1E81KiTWKiOSpiY,blues,Howlin' Wolf,0Wxy5Qka8BN9crcFkiAxSR,"['acoustic blues', 'blues', 'blues rock', 'chicago blues', 'classic rock', 'delta blues', 'harmonica blues', 'memphis blues', 'soul', 'traditional blues']",2007-01-01,190088,0
19,I Got All You Need,4XrPJpNI1pzcrpZyQjLpzK,blues,Joe Bonamassa,2SNzxY1OsSCHBLVi77mpPQ,"['blues', 'blues rock', 'electric blues', 'modern blues', 'modern blues rock']",2012-05-22,183493,0
20,On The Road Again,7E2u1onzVWsec2Qp7Xrb4A,blues,Canned Heat,27a0GiCba9K9lnkKidroFU,"['album rock', 'blues', 'blues rock', 'classic rock', 'country rock', 'electric blues', 'folk rock', 'hard rock', 'mellow gold', 'psychedelic rock', 'rock', 'roots rock']",2007-09-24,185813,35
21,All Your Love (I Miss Loving),46UVOp5pnAasev0rak9ta7,blues,Otis Rush,1h0hOL3bVcYlg4xcSjU7fP,"['blues', 'blues rock', 'chicago blues', 'electric blues', 'modern blues', 'traditional blues']",1956,157132,30
