,song_name,song_id,song_genre,artist,artist_id,artist_genre,release_date,duration_ms,popularity
0,Rolling In The Deep,7h8Ud480Fm4ReUVxgFF9ZX,blues,Adele,4dpARuHxo51G3z768sgnrY,"['british soul', 'pop', 'pop soul', 'uk pop']",2011-01-16,228293,2
1,Onions,5qEo2fMErPaePE6EMT2mjR,blues,John Lee Hooker,1yNOfXGQNGjAynk77wv85x,"['blues', 'blues rock', 'classic rock', 'delta blues', 'electric blues', 'memphis blues', 'soul', 'traditional blues']",2012-09-11,131422,0
2,Walkin Man,1oKsHUHtU0jsbbBbLBQwY1,blues,Seasick Steve,6OVkHZQP8QoBYqr1ejCGDv,"['blues', 'blues rock', 'country blues', 'modern blues', 'modern blues rock', 'texas blues']",2008-07-15,164680,0
3,Walking By Myself - Remastered,3Q58LPjRulTqYtlOX1DFVQ,blues,Freddie King,5dCuFngSPyOOnTAvrC7v2s,"['blues', 'blues rock', 'classic rock', 'electric blues', 'texas blues', 'traditional blues']",2000-01-01,171133,17
4,Iceman,6YGREHE5JCSWpkW82QWrv0,blues,Albert Collins,1uFixbBAduJkFAeRKznkvW,"['blues', 'blues rock', 'electric blues', 'modern blues', 'texas blues']",1991-01-01,302733,36
5,She's Nineteen Years Old,2VHeGMakltOZolXDbvVdSw,blues,Muddy Waters,4y6J8jwRAwO4dssiSmN91R,"['blues', 'blues rock', 'chicago blues', 'classic rock', 'electric blues', 'soul', 'traditional blues']",2012-09-05,201773,0
6,Big Boss Man,4qrrz2Pd8hMpPyIKSscyNs,blues,Jimmy Reed,41ZMMuFFLPTVPkUsSI5KlV,"['blues', 'blues rock', 'chicago blues', 'electric blues', 'harmonica blues', 'rock-and-roll', 'traditional blues']",2003,166533,32
7,Never Go West,5plqZ0v9oNxmu6l7w3mBN6,blues,Seasick Steve,6OVkHZQP8QoBYqr1ejCGDv,"['blues', 'blues rock', 'country blues', 'modern blues', 'modern blues rock', 'texas blues']",2011-11-11,210546,0
8,Before You Accuse Me,1tz3ASUgO1go23r8A2TXfb,blues,Eric Clapton,6PAt558ZEZl0DmdXlnjMgD,"['album rock', 'blues rock', 'classic rock', 'electric blues', 'mellow gold', 'rock', 'soft rock']",1992-08-25,223946,0
9,"Lenny - Live at The Spectrum, Montreal; Augusy 17 1984 (Late Show)",5w8Ti9LEgtN2wXnJ4W4qpI,blues,Stevie Ray Vaughan,5fsDcuclIe8ZiBD5P787K1,"['album rock', 'blues', 'blues rock', 'classic rock', 'electric blues', 'instrumental rock', 'modern blues', 'rock', 'texas blues']",1984,667200,25
10,All Your Love - Stereo Album Version,5APxd9Oameqe2EF2h5lDHI,blues,John Mayall & The Bluesbreakers,2ScuQMRWThcifBRIvNDFDC,"['blues', 'blues rock', 'british blues', 'british invasion', 'classic rock', 'country rock', 'electric blues', 'modern blues', 'rock']",1966-07-22,214733,0
11,Six Days On the Road,29fflNwELe8dHQ2zN4IAGw,blues,Taj Mahal,1aTDTChWWyiJH3SEnYrdVp,"['acoustic blues', 'blues', 'blues rock', 'classic rock', 'country blues', 'country rock', 'folk rock', 'funk', 'harmonica blues', 'jazz blues', 'modern blues', 'roots rock', 'soul', 'traditional blues']",2005,180413,19
12,Ball And Biscuit,1GTHfNDbLFT6pgDFJvPFxu,blues,The White Stripes,4F84IBURUo98rz4r61KF70,"['alternative rock', 'blues rock', 'detroit rock', 'garage rock', 'modern blues rock', 'modern rock', 'permanent wave', 'punk blues', 'rock']",2003-04-01,439000,0
13,Sweet Little Angel,6m9aTQU6eMX3ZXzCV3PRKk,blues,B.B. King,5xLSa7l4IV1gsQfhAMvl0U,"['blues', 'blues rock', 'classic rock', 'electric blues', 'jazz blues', 'soul blues', 'traditional blues']",2011-08-31,181560,0
14,Mary Had a Little Lamb,50yVEqOnLHtRTHWq3PWBuZ,blues,"['Stevie Ray Vaughan', 'Double Trouble']","['5fsDcuclIe8ZiBD5P787K1', '05m9VGwNd8glcJ2o5UN8H3']","[['album rock', 'blues', 'blues rock', 'classic rock', 'electric blues', 'instrumental rock', 'modern blues', 'rock', 'texas blues'], []]",2007-08-21,166760,0
15,Midnight Rider,7egyR1d4Xmr1TsmpJct9bL,blues,Allman Brothers Band,4wQ3PyMz3WwJGI5uEqHUVR,"['album rock', 'blues rock', 'classic rock', 'country rock', 'double drumming', 'electric blues', 'folk rock', 'hard rock', 'jam band', 'mellow gold', 'rock', 'roots rock', 'soft rock', 'southern rock']",2000-01-01,178000,0
16,Back To Black,33fdvicpRVPWCPz19Obajn,blues,Amy Winehouse,6Q192DXotxtaysaqNPy5yR,"['british soul', 'neo soul']",2008-01-01,240440,0
17,Devil Got My Woman,6Ym6k8hxEi5ytfLwbMHW0T,blues,Skip James,2zlMeTjA7szCmqcJjBzYXJ,"['acoustic blues', 'blues', 'country blues', 'delta blues', 'traditional blues', 'traditional folk']",1990,181238,18
18,Swanee River,6Ocp0AkuB53NneNMz0QufC,blues,Hugh Laurie,5WM5zPOswRcPu07rxP2dQv,['comic'],2011-04-18,163080,32
19,Call It Stormy Monday,0v6tG0HoAHiluZAeany7oU,blues,"['Albert King', 'Stevie Ray Vaughan']","['5aygfDCEaX5KTZOxSCpT9o', '5fsDcuclIe8ZiBD5P787K1']","[['blues', 'blues rock', 'classic rock', 'electric blues', 'memphis soul', 'soul blues', 'traditional blues'], ['album rock', 'blues', 'blues rock', 'classic rock', 'electric blues', 'instrumental rock', 'modern blues', 'rock', 'texas blues']]",1999,540573,41
20,Ice Pick,4mGVChT7up6vHHFj4gLJUM,blues,Albert Collins,1uFixbBAduJkFAeRKznkvW,"['blues', 'blues rock', 'electric blues', 'modern blues', 'texas blues']",1978,188933,0
21,My Baby Just Cares For Me,2n845ZaLOgpNJ3RinFwE1W,blues,Nina Simone,7G1GBhoKtEPnP86X2PvEYO,"['jazz blues', 'soul', 'soul jazz', 'torch song', 'vocal jazz']",2000,217626,0
22,Honey Bee,0W4EvXCjLH6OQjtDVzdPWg,blues,Stevie Ray Vaughan,5fsDcuclIe8ZiBD5P787K1,"['album rock', 'blues', 'blues rock', 'classic rock', 'electric blues', 'instrumental rock', 'modern blues', 'rock', 'texas blues']",1984,163120,36
23,Too Rolling Stoned - 2007 Remastered Version,7A9rUcLyatjR0FvJFkmfIw,blues,Robin Trower,0MAvx5yzdhylg2ztJC3MD3,"['album rock', 'art rock', 'blues rock', 'british blues', 'classic rock', 'country rock', 'electric blues', 'hard rock', 'modern blues', 'psychedelic rock', 'rock', 'southern rock']",1974,451893,0
24,I'd Rather Go Blind,6O3HIM5RjSoqKGSJUuj1tH,blues,Chicken Shack,7aUVQRiWaOqZU0JwOlGfWi,"['blues rock', 'british blues', 'electric blues']",2002-02-21,193040,36
25,Tighten Up,2MVwrvjmcdt4MsYYLCYMt8,blues,The Black Keys,7mnBLXK823vNxN3UWB7Gfz,"['alternative rock', 'blues rock', 'garage rock', 'modern blues rock', 'modern rock', 'punk blues', 'rock']",2010-05-18,211080,62
26,You Can't Lose What You Ain't Never Had,7GCC5Nq4gnImhyMeqULoi3,blues,Muddy Waters,4y6J8jwRAwO4dssiSmN91R,"['blues', 'blues rock', 'chicago blues', 'classic rock', 'electric blues', 'soul', 'traditional blues']",1964,179760,0
27,Spoonful,6Pi1pz3pHIhclix9EKvy2q,blues,Howlin' Wolf,0Wxy5Qka8BN9crcFkiAxSR,"['acoustic blues', 'blues', 'blues rock', 'chicago blues', 'classic rock', 'delta blues', 'harmonica blues', 'memphis blues', 'soul', 'traditional blues']",1988-01-01,167066,0
28,Double Crossing Time - Mono,1xiC0S5ArI50Rnson6KOcE,blues,"['John Mayall & The Bluesbreakers', 'Eric Clapton']","['2ScuQMRWThcifBRIvNDFDC', '6PAt558ZEZl0DmdXlnjMgD']","[['blues', 'blues rock', 'british blues', 'british invasion', 'classic rock', 'country rock', 'electric blues', 'modern blues', 'rock'], ['album rock', 'blues rock', 'classic rock', 'electric blues', 'mellow gold', 'rock', 'soft rock']]",1966-07-22,180693,0
29,Got The Bottle Up And Gone,54nkY5drz9k6z7M5EfbUqc,blues,Sonny Boy Williamson II,69VgCcXFV59QuQWEXSTxfK,"['acoustic blues', 'blues', 'chicago blues', 'country blues', 'delta blues', 'harmonica blues', 'traditional blues']",2008-01-01,153855,0
30,So Many Roads - Live From The Royal Albert Hall,5hlooc5dofHc45XbMYwCTl,blues,Joe Bonamassa,2SNzxY1OsSCHBLVi77mpPQ,"['blues', 'blues rock', 'electric blues', 'modern blues', 'modern blues rock']",2009,375573,0
31,Sharp Dressed Man - 2008 Remaster,1UBQ5GK8JaQjm5VbkBZY66,blues,ZZ Top,2AM4ilv6UzW0uMRuqKtDgN,"['album rock', 'blues rock', 'classic rock', 'country rock', 'hard rock', 'rock']",1983-03-23,258026,72
32,Run Me Down,7aAb97Hehzti7KWy1OBckd,blues,The Black Keys,7mnBLXK823vNxN3UWB7Gfz,"['alternative rock', 'blues rock', 'garage rock', 'modern blues rock', 'modern rock', 'punk blues', 'rock']",2002,147346,0
33,Going Up The Country,57460SJgSpCXaRJ9YIYHxy,blues,Canned Heat,27a0GiCba9K9lnkKidroFU,"['album rock', 'blues', 'blues rock', 'classic rock', 'country rock', 'electric blues', 'folk rock', 'hard rock', 'mellow gold', 'psychedelic rock', 'rock', 'roots rock']",1987-01-01,171373,64
34,Wild Honey,42x0aq3vbHnpkk9Go4oB8n,blues,Hugh Laurie,5WM5zPOswRcPu07rxP2dQv,['comic'],2013-04-29,260839,24
35,Baby Won't You Please Come Home,0MRBYaGjqFt5m5n3auypy4,blues,Bessie Smith,5ESobCkc6JI4tIMxQttqeg,"['blues', 'harlem renaissance', 'jazz blues', 'traditional blues']",1923,175226,0
36,All Your Love (I Miss Loving),46UVOp5pnAasev0rak9ta7,blues,Otis Rush,1h0hOL3bVcYlg4xcSjU7fP,"['blues', 'blues rock', 'chicago blues', 'electric blues', 'modern blues', 'traditional blues']",1956,157132,30
37,You Can't Teach An Old Dog New Tricks,3iN5048zS7kwyCGeNinf3A,blues,Seasick Steve,6OVkHZQP8QoBYqr1ejCGDv,"['blues', 'blues rock', 'country blues', 'modern blues', 'modern blues rock', 'texas blues']",2011-05-30,214053,0
38,I Got It Bad - And That Ain't Good,36Q1PDTmxBa6tDMJX4EAkv,blues,Jools Holland And Mick Hucknall,4yAfFUP5bnWDu0Asu9QzCl,[],2012-11-29,214173,18
39,Life Without You,6Z8prosDCmjU3hkgEnyId6,blues,Stevie Ray Vaughan,5fsDcuclIe8ZiBD5P787K1,"['album rock', 'blues', 'blues rock', 'classic rock', 'electric blues', 'instrumental rock', 'modern blues', 'rock', 'texas blues']",2002-08-27,258026,42
40,Decoration Day,1YDtm9A1E81KiTWKiOSpiY,blues,Howlin' Wolf,0Wxy5Qka8BN9crcFkiAxSR,"['acoustic blues', 'blues', 'blues rock', 'chicago blues', 'classic rock', 'delta blues', 'harmonica blues', 'memphis blues', 'soul', 'traditional blues']",2007-01-01,190088,0
41,Your Heart Is As Black As Night,2XJBHxDHgimhJ67fzpp8Ip,blues,"['Joe Bonamassa', 'Beth Hart']","['2SNzxY1OsSCHBLVi77mpPQ', '30TrHDLNCKQVTYWOn9QqOC']","[['blues', 'blues rock', 'electric blues', 'modern blues', 'modern blues rock'], ['blues rock', 'electric blues', 'lilith', 'modern blues']]",2011-09-27,300880,0
42,I'm So Excited,0yWSIVWjYiL8uXnzqpKHul,blues,John Lee Hooker,1yNOfXGQNGjAynk77wv85x,"['blues', 'blues rock', 'classic rock', 'delta blues', 'electric blues', 'memphis blues', 'soul', 'traditional blues']",2012-09-11,166452,0
43,Rolling Stone - Remastered,13Uhx1f7emflh1XHhDnNst,blues,Muddy Waters,4y6J8jwRAwO4dssiSmN91R,"['blues', 'blues rock', 'chicago blues', 'classic rock', 'electric blues', 'soul', 'traditional blues']",2010-09-29,186626,0
44,Keep It Coming,61igHmf0jgvSgqaDEHj8De,blues,"['B.B. King', 'Heavy D']","['5xLSa7l4IV1gsQfhAMvl0U', '4AwNnh5SdnB3VGSZ0GPG4H']","[['blues', 'blues rock', 'classic rock', 'electric blues', 'jazz blues', 'soul blues', 'traditional blues'], ['new jack swing', 'reggae fusion']]",1997-01-01,235171,0
45,Too Afraid to Love You,1comODdI862K7ei34XZRa4,blues,The Black Keys,7mnBLXK823vNxN3UWB7Gfz,"['alternative rock', 'blues rock', 'garage rock', 'modern blues rock', 'modern rock', 'punk blues', 'rock']",2010-05-18,204733,44
46,On The Road Again - Remastered,1R45EyWM83EVqPOrDWtZTG,blues,Canned Heat,27a0GiCba9K9lnkKidroFU,"['album rock', 'blues', 'blues rock', 'classic rock', 'country rock', 'electric blues', 'folk rock', 'hard rock', 'mellow gold', 'psychedelic rock', 'rock', 'roots rock']",2005-01-01,296426,40
47,One Good Man,7i6DXHp3L3tV58RbBnqKFd,blues,Janis Joplin,4NgfOZCL9Ml67xzM0xzIvC,"['blues rock', 'classic rock', 'psychedelic rock', 'rock']",2009-06-30,249653,31
48,You Know My Love,59YQ2ODxWIlphKx7dk1Am2,blues,Otis Rush,1h0hOL3bVcYlg4xcSjU7fP,"['blues', 'blues rock', 'chicago blues', 'electric blues', 'modern blues', 'traditional blues']",1988-01-01,162000,0
49,Little Anna Mae - Remastered,7mQs0t6Q28lybFc7gXivbx,blues,Muddy Waters,4y6J8jwRAwO4dssiSmN91R,"['blues', 'blues rock', 'chicago blues', 'classic rock', 'electric blues', 'soul', 'traditional blues']",2010-09-29,151946,0
50,Little Red Rooster,3D7LMAS2AtiHjEVvGqyMDz,blues,The Rolling Stones,22bE4uQ6baNwSHPVcDxLCe,"['british invasion', 'classic rock', 'rock']",2012-01-01,185200,0
51,Something Inside Of Me,2Vi98QoGNjD33j9EffSWFZ,blues,Elmore James,0q9kpdDkEA3H17gcRMjgVS,"['blues', 'blues rock', 'chicago blues', 'delta blues', 'electric blues', 'rock-and-roll', 'traditional blues']",2006-06-28,300826,0
52,See the Light,5hGgJYZwJbXUyYDCABRl8e,blues,The Jeff Healey Band,3d2hJTVTwo08F9b0ZFQukJ,"['blues rock', 'canadian blues', 'classic rock', 'electric blues', 'modern blues']",1988,267066,0
53,Fixin' To Die,6yon8Hb3Ur7aXXjfy4dLkd,blues,Bukka White,2gSskdDhLQCx3CQd6XKDhp,"['acoustic blues', 'blues', 'country blues', 'delta blues', 'traditional blues']",2008-01-01,169041,0
54,Ain't No Love In The Heart Of The City - Single Version,14rTFBs1cCkOBp5JPUrJhw,blues,"Bobby ""Blue"" Bland",48nwxUvPJZkm8uPa7xMzmj,"['blues', 'electric blues', 'soul', 'soul blues', 'southern soul']",2007-01-01,225346,52
55,I'm A King Bee,3oF8frWQEWaxPVGEFdvzdz,blues,Slim Harpo,36hwOoNPgnsKnhoMBYpJrJ,"['acoustic blues', 'blues', 'electric blues', 'harmonica blues', 'louisiana blues', 'rhythm and blues', 'rock-and-roll', 'swamp blues', 'swamp rock', 'traditional blues']",1997-01-01,183133,0
56,You Can't Judge A Book By It's Cover,6gShaExiRWNcqERHI21bfo,blues,Bo Diddley,2bmixwMZXlkl2sbIbOfviq,"['blues', 'blues rock', 'brill building pop', 'chicago blues', 'classic rock', 'electric blues', 'funk', 'rhythm and blues', 'rock-and-roll', 'rockabilly', 'soul', 'traditional blues']",1988-01-01,190733,0
57,Killing Floor,4Uesxvcv7YpBZ3dCuVhbUo,blues,Howlin' Wolf,0Wxy5Qka8BN9crcFkiAxSR,"['acoustic blues', 'blues', 'blues rock', 'chicago blues', 'classic rock', 'delta blues', 'harmonica blues', 'memphis blues', 'soul', 'traditional blues']",2003-01-01,170000,0
58,Bold as Love,0dctFolLOGtoeTN2uzD3qV,blues,Jimi Hendrix,776Uo845nYHJpNaStv1Ds4,"['acid rock', 'album rock', 'blues rock', 'classic rock', 'hard rock', 'psychedelic rock', 'rock']",1997-09-16,251933,36
59,She's Gone,2swDvj3cIDWgFhb1oHVnm7,blues,Hound Dog Taylor,737qPoiQQkeuIzuJy54aK4,"['acoustic blues', 'blues', 'blues rock', 'chicago blues', 'electric blues', 'traditional blues']",1971,231000,0
60,"Shake, Rattle and Roll",7aLoa1F3EoM8AeC6Ao1RKz,blues,Big Joe Turner,1DTgcOxytJHD8p17mhSgd7,"['blues', 'boogie-woogie', 'jump blues', 'rhythm and blues', 'rock-and-roll', 'rockabilly', 'traditional blues']",2007-10-30,179626,45
61,From Four Until Late,39NPkG0JHvWfqzKoUoNEhw,blues,Robert Johnson,0f8MDDzIc6M4uH1xH0o0gy,"['acoustic blues', 'blues', 'blues rock', 'delta blues', 'pre-war blues', 'traditional blues']",1990,142506,0
62,Shake Your Moneymaker,5kgzVG32k9hHUzec5MDfQ0,blues,Elmore James,0q9kpdDkEA3H17gcRMjgVS,"['blues', 'blues rock', 'chicago blues', 'delta blues', 'electric blues', 'rock-and-roll', 'traditional blues']",2008-07-22,157186,0
63,"Someone Else Is Steppin' In (Slippin' Out, Slippin' In)",3wPBFBse6Bg9tbHV7Pp5xU,blues,Buddy Guy,2gCsNOpiBaMNh20jQ5prf0,"['blues', 'blues rock', 'chicago blues', 'classic rock', 'country blues', 'electric blues', 'modern blues', 'soul blues', 'traditional blues']",1991,261506,0
64,Boom Boom,2nVP9QNyvo0H1FoRkMAT9X,blues,John Lee Hooker,1yNOfXGQNGjAynk77wv85x,"['blues', 'blues rock', 'classic rock', 'delta blues', 'electric blues', 'memphis blues', 'soul', 'traditional blues']",2012-09-11,149908,0
65,I Got My Brand On You,0ZWjO72rmu9kEPRw1NJyWb,blues,Muddy Waters,4y6J8jwRAwO4dssiSmN91R,"['blues', 'blues rock', 'chicago blues', 'classic rock', 'electric blues', 'soul', 'traditional blues']",2013-10-04,290298,0
66,Stang's Swang - Alternate Version,1zO47jCtwsqZ73yKzOtM2d,blues,Stevie Ray Vaughan,5fsDcuclIe8ZiBD5P787K1,"['album rock', 'blues', 'blues rock', 'classic rock', 'electric blues', 'instrumental rock', 'modern blues', 'rock', 'texas blues']",1984,164280,26
67,Don't Answer The Door,4VSRpqVJn9dnBRMX342il4,blues,B.B. King,5xLSa7l4IV1gsQfhAMvl0U,"['blues', 'blues rock', 'classic rock', 'electric blues', 'jazz blues', 'soul blues', 'traditional blues']",1999-01-01,311960,0
68,I'd Rather Go Blind,3etdnXxhAQcaZGh9wYr8ub,blues,Koko Taylor,04qIJRFjTmvW5I1DMyGE1R,"['acoustic blues', 'blues', 'chicago blues', 'electric blues', 'modern blues', 'traditional blues']",2002,296333,0
69,Maybe,76ZExGgO2njBAqvPAeh1x4,blues,Janis Joplin,4NgfOZCL9Ml67xzM0xzIvC,"['blues rock', 'classic rock', 'psychedelic rock', 'rock']",2009-06-30,219240,50
70,Cajun Moon,0h1GQXLDD4TvQ8WrZMe7kB,blues,J.J. Cale,06nsZ3qSOYZ2hPVIMcr1IN,"['album rock', 'blues', 'blues rock', 'classic rock', 'country rock', 'folk rock', 'mellow gold', 'modern blues', 'rock', 'roots rock']",1999-01-01,134840,33
71,I'm Cryin',1oLVPN07o3aAgKAVWjhRRn,blues,Stevie Ray Vaughan,5fsDcuclIe8ZiBD5P787K1,"['album rock', 'blues', 'blues rock', 'classic rock', 'electric blues', 'instrumental rock', 'modern blues', 'rock', 'texas blues']",1983,223586,40
72,My Home Is In The Delta,6gNqTbfiinrGDjgrp3vdCR,blues,Muddy Waters,4y6J8jwRAwO4dssiSmN91R,"['blues', 'blues rock', 'chicago blues', 'classic rock', 'electric blues', 'soul', 'traditional blues']",1964,241000,0
73,Woke Up This Morning - 2002 Digital Remaster,0aMyEvjv8gmIqsXMDPU1rj,blues,Gary Moore,23wr9RJZg0PmYvVFyNkQ4j,"['album rock', 'blues rock', 'british blues', 'classic rock', 'electric blues', 'hard rock', 'rock']",2006,230626,9
74,Hell Hound On My Trail,5xjG7nV5ncQAHkuifsz4v3,blues,Robert Johnson,0f8MDDzIc6M4uH1xH0o0gy,"['acoustic blues', 'blues', 'blues rock', 'delta blues', 'pre-war blues', 'traditional blues']",1937,157866,30
75,Mary Had a Little Lamb - Live,4hwjdD9MELwfLR67ncrH7z,blues,Stevie Ray Vaughan,5fsDcuclIe8ZiBD5P787K1,"['album rock', 'blues', 'blues rock', 'classic rock', 'electric blues', 'instrumental rock', 'modern blues', 'rock', 'texas blues']",1983,211733,0
76,Rock Me Baby,2ZC5ygLIJEMuLTiElPFTnC,blues,Johnny Winter,2ODUxmFxJSyvGiimNhMHbO,"['blues', 'blues rock', 'classic rock', 'country rock', 'electric blues', 'hard rock', 'modern blues', 'texas blues']",1973,229093,29
77,Miss Martha King,2t3ooooCpFuzcuTJS28Rg3,blues,B.B. King,5xLSa7l4IV1gsQfhAMvl0U,"['blues', 'blues rock', 'classic rock', 'electric blues', 'jazz blues', 'soul blues', 'traditional blues']",2009-01-01,164715,0
78,(I'm Your) Hoochie Coochie Man,11JLU8pu3gRx4KleXJQ3ce,blues,Muddy Waters,4y6J8jwRAwO4dssiSmN91R,"['blues', 'blues rock', 'chicago blues', 'classic rock', 'electric blues', 'soul', 'traditional blues']",2008-01-01,165520,0
79,Season of the Witch - 2002 Remix w/o Horns,6Wi0DHWomfgBLoBo14yyDp,blues,"['Al Kooper', 'Mike Bloomfield', 'Stephen Stills']","['49JvZ17o0VaAmXaJv5kZlv', '0yT9vbP1EOnCpl2McnF9nH', '4WlSvDKaq1PA2Nr7cCIPxX']","[['blues', 'blues rock', 'classic rock', 'country rock', 'electric blues', 'folk rock', 'psychedelic rock', 'rock keyboard', 'roots rock'], ['blues', 'blues rock', 'chicago blues', 'country rock', 'electric blues', 'modern blues', 'traditional blues'], ['blues rock', 'classic rock', 'country rock', 'folk', 'folk rock', 'mellow gold', 'psychedelic rock', 'rock', 'roots rock', 'singer-songwriter', 'soft rock']]",1968,667973,40
80,Willie The Wimp - Live,1nwXca4jNGWDpowRQnEiEv,blues,Stevie Ray Vaughan,5fsDcuclIe8ZiBD5P787K1,"['album rock', 'blues', 'blues rock', 'classic rock', 'electric blues', 'instrumental rock', 'modern blues', 'rock', 'texas blues']",2002-08-27,274800,31
81,Let It Grow,5vRhIG3VXBzHbf7XiNT0vq,blues,Eric Clapton,6PAt558ZEZl0DmdXlnjMgD,"['album rock', 'blues rock', 'classic rock', 'electric blues', 'mellow gold', 'rock', 'soft rock']",2005-01-01,298066,23
82,Malted Milk,4GVVHxJJKPlP25E2074x7p,blues,Robert Johnson,0f8MDDzIc6M4uH1xH0o0gy,"['acoustic blues', 'blues', 'blues rock', 'delta blues', 'pre-war blues', 'traditional blues']",2011-01-31,141306,0
83,Now You're Gone,4e03J3XTZ9SZMlbZ1RhgiK,blues,Buddy Guy,2gCsNOpiBaMNh20jQ5prf0,"['blues', 'blues rock', 'chicago blues', 'classic rock', 'country blues', 'electric blues', 'modern blues', 'soul blues', 'traditional blues']",2005-11-11,303013,17
84,Sexual Healing,7nVzOpFNZVFZtbq3OGJHX9,blues,Marvin Gaye,3koiLjNrgRTNbOwViDipeA,"['classic soul', 'funk', 'indie r&b', 'motown', 'northern soul', 'quiet storm', 'soul']",2009-03-05,239800,51
85,I'm Yours and I'm Hers,3ZL06rA9oe8JEKQQ3V6VCE,blues,Johnny Winter,2ODUxmFxJSyvGiimNhMHbO,"['blues', 'blues rock', 'classic rock', 'country rock', 'electric blues', 'hard rock', 'modern blues', 'texas blues']",1969,268026,20
86,Rock House Boogie,1esmEZP4hrnK46h1VSdAUa,blues,John Lee Hooker,1yNOfXGQNGjAynk77wv85x,"['blues', 'blues rock', 'classic rock', 'delta blues', 'electric blues', 'memphis blues', 'soul', 'traditional blues']",2011-04-12,176133,0
87,My Babe,4M3VwtxRWIlbWkdZ6ueSBG,blues,Little Walter,22JuR9OeENcP54XN5TlNWS,"['acoustic blues', 'blues', 'chicago blues', 'electric blues', 'harmonica blues', 'louisiana blues', 'rock-and-roll', 'traditional blues']",1988-01-01,162666,0
88,Palace Of The King - Remastered,6u71ueCmdXNGjbbAX4bkOU,blues,Freddie King,5dCuFngSPyOOnTAvrC7v2s,"['blues', 'blues rock', 'classic rock', 'electric blues', 'texas blues', 'traditional blues']",2000-01-01,220706,24
89,Louise - Single Version,2nbx6lM1Biw2Z1snTOXDMl,blues,Howlin' Wolf,0Wxy5Qka8BN9crcFkiAxSR,"['acoustic blues', 'blues', 'blues rock', 'chicago blues', 'classic rock', 'delta blues', 'harmonica blues', 'memphis blues', 'soul', 'traditional blues']",2007-01-01,162253,0
90,This Little Girl of Mine,3QoFJiEWJ0LnDwch93MdZf,blues,Ray Charles,1eYhYunlNJlDoQhtYBvPsi,"['adult standards', 'classic soul', 'jazz blues', 'piano blues', 'soul', 'soul blues', 'vocal jazz']",1957-01-01,154733,30
91,Standing At The Crossroads - Remastered,75HEhaEvDqxwtr6v8o1LFl,blues,Elmore James,0q9kpdDkEA3H17gcRMjgVS,"['blues', 'blues rock', 'chicago blues', 'delta blues', 'electric blues', 'rock-and-roll', 'traditional blues']",2013-08-01,165423,0
92,Hummingbird,6tThUL3Xy51DYijYTXBlLU,blues,"['B.B. King', 'Dionne Warwick']","['5xLSa7l4IV1gsQfhAMvl0U', '2JSjCHK79gdaiPWdKiNUNp']","[['blues', 'blues rock', 'classic rock', 'electric blues', 'jazz blues', 'soul blues', 'traditional blues'], ['adult standards', 'brill building pop', 'disco', 'lounge', 'mellow gold', 'motown', 'quiet storm', 'soft rock', 'soul']]",1997-01-01,260240,0
93,Lay Lady Lay featuring Anthony Hamilton and Robert Randolph,04CCB2rnCnu9e3XeHmxiHG,blues,Buddy Guy,2gCsNOpiBaMNh20jQ5prf0,"['blues', 'blues rock', 'chicago blues', 'classic rock', 'country blues', 'electric blues', 'modern blues', 'soul blues', 'traditional blues']",2005-09-01,275213,0
94,Soulshine,7a014uMHF3nlqzXCxV551C,blues,Allman Brothers Band,4wQ3PyMz3WwJGI5uEqHUVR,"['album rock', 'blues rock', 'classic rock', 'country rock', 'double drumming', 'electric blues', 'folk rock', 'hard rock', 'jam band', 'mellow gold', 'rock', 'roots rock', 'soft rock', 'southern rock']",1994-05-03,403506,59
95,Truckin' Little Woman,4YpPQaFeUHlBAE6AjvlCjP,blues,Big Bill Broonzy,6HwigzRpuWoCZDqMOQc5eu,"['acoustic blues', 'blues', 'chicago blues', 'country blues', 'electric blues', 'traditional blues']",2008-01-01,158406,0
96,You Never Can Tell - 1964 Single Version / Mono,2LcV5dZWN47XVCVZ1dFwfQ,blues,Chuck Berry,293zczrfYafIItmnmM3coR,"['blues rock', 'classic rock', 'rock', 'rock-and-roll', 'rockabilly', 'soul']",2007-05-14,160866,0
97,King's Highway,0q0Tle4IWMsGtHnCK1o6IF,blues,"['Kenny Wayne Shepherd', 'Tom Lord-Alge']","['1riHqX633Kup3mJAw8WR8p', '32ckuKo8LrZhQMyCehYKkt']","[['blues', 'blues rock', 'classic rock', 'country rock', 'electric blues', 'modern blues', 'modern blues rock', 'rock'], []]",1997-09-26,257866,33
98,Awful Dreams,6VXyqp5UEQx6B3QO1YFEZU,blues,Lightnin' Hopkins,6EZzVXM2uDRPmnHWq9yPDE,"['acoustic blues', 'blues', 'blues rock', 'country blues', 'delta blues', 'texas blues', 'traditional blues']",2011-01-11,289134,0
99,I Didn't Know,46YpQu1HB7pdKYgrzz9KOZ,blues,Howlin' Wolf,0Wxy5Qka8BN9crcFkiAxSR,"['acoustic blues', 'blues', 'blues rock', 'chicago blues', 'classic rock', 'delta blues', 'harmonica blues', 'memphis blues', 'soul', 'traditional blues']",2007-01-01,143786,0
