,song_name,song_id,song_genre,url,artist,artist_id,artist_genre,release_date,duration_ms,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms_,time_signature
622,Happens Like That,11fWR3u9wjDMW4oVDbUbyT,country,https://open.spotify.com/track/11fWR3u9wjDMW4oVDbUbyT,Granger Smith,4sTFGCigAQIUiEy8wSSQNF,"['contemporary country', 'country', 'country road', 'modern country rock', 'redneck', 'texas country']",2017-10-27,171493,58,0.557,0.807,7,-5.428,1,0.0825,0.189,0.0,0.234,0.578,81.045,171493,4
623,Girl Crush,11qh54D0PKkBwelpDxxiEU,country,https://open.spotify.com/track/11qh54D0PKkBwelpDxxiEU,Little Big Town,3CygdxquGHurS7f9LjNLkv,"['contemporary country', 'country', 'country dawn', 'country road']",2014-10-21,193320,69,0.5,0.225,0,-10.22,1,0.0302,0.842,0.0,0.112,0.355,173.788,193320,3
624,Damn Drunk,3XxtBBMexPb3RRVHPzTgNR,country,https://open.spotify.com/track/3XxtBBMexPb3RRVHPzTgNR,"['Ronnie Dunn', 'Kix Brooks']","['1iLuTmIgxCEiEllDSWkeIy', '1blfMUdqahbMZzbmbbN2j8']","[['contemporary country', 'country', 'country pop', 'country road', 'modern country rock', 'oklahoma country'], ['country road', 'modern country rock']]",2016-11-11,264466,49,0.633,0.729,0,-5.135,1,0.0276,0.0363,1.79e-06,0.111,0.414,103.989,264467,4
625,May We All,498ZVInMGDkmmNVpSWqHiZ,country,https://open.spotify.com/track/498ZVInMGDkmmNVpSWqHiZ,"['Florida Georgia Line', 'Tim McGraw']","['3b8QkneNDz4JHKKKlLgYZg', '6roFdX1y5BYSbp60OTJWMd']","[['contemporary country', 'country', 'country pop', 'country road', 'modern country rock'], ['contemporary country', 'country', 'country road']]",2016-08-26,226173,70,0.514,0.918,7,-4.306,1,0.0365,0.0409,0.0,0.342,0.64,150.033,226173,4
626,In Color,7CNd7rjfVt74TFlcOcnZgN,country,https://open.spotify.com/track/7CNd7rjfVt74TFlcOcnZgN,Jamey Johnson,5yhxqYI0JBwUKfXpSEjiM8,"['contemporary country', 'country', 'country road', 'outlaw country', 'redneck']",2008-01-01,290680,69,0.544,0.404,3,-8.751,1,0.0354,0.391,3.98e-06,0.157,0.251,129.518,290680,4
627,Good Time,0ghHCXGmbUb2xTof1u59aQ,country,https://open.spotify.com/track/0ghHCXGmbUb2xTof1u59aQ,Alan Jackson,4mxWe1mtYIYfP040G38yvS,"['contemporary country', 'country', 'country road']",2008-02-29,306773,0,0.652,0.767,9,-10.445,1,0.0372,0.0355,6.92e-06,0.397,0.73,132.017,306773,4
628,Gettin' You Home,28Sc21lrWcZD9Ov4rRkPJq,country,https://open.spotify.com/track/28Sc21lrWcZD9Ov4rRkPJq,Chris Young,4BYxqVkZyFjtik7crYLg5Q,"['contemporary country', 'country', 'country road', 'modern country rock']",2009-09-01,212133,65,0.639,0.678,7,-5.02,1,0.0278,0.44,1.45e-06,0.221,0.531,106.966,212133,4
629,Redneck Woman,26bL4gSULWDgdIMX0pRFrG,country,https://open.spotify.com/track/26bL4gSULWDgdIMX0pRFrG,Gretchen Wilson,0IdYRFTswLdsGwSnzOaGNF,"['contemporary country', 'country', 'country dawn', 'country road']",2004-05-11,221333,64,0.499,0.825,6,-5.146,1,0.177,0.13,0.0,0.306,0.753,185.069,221333,4
630,"Forever and Ever, Amen",1ipcb9qXpSHWhSUvdxJhsx,country,https://open.spotify.com/track/1ipcb9qXpSHWhSUvdxJhsx,Randy Travis,1pTuR132U5b4Rizal2Pr7m,"['contemporary country', 'country', 'country gospel', 'country road', 'country rock']",1987-05-04,212640,67,0.677,0.724,2,-8.992,1,0.0245,0.143,0.000101,0.158,0.697,90.392,212640,4
631,Smile,4ZC8hXXqu2hPcDLw9QTdtQ,country,https://open.spotify.com/track/4ZC8hXXqu2hPcDLw9QTdtQ,Uncle Kracker,2DnqqkzzDKm3vAoyHtn8So,"['country', 'country road', 'pop rock']",2009-09-11,201626,68,0.541,0.812,4,-3.764,1,0.0336,0.203,0.0,0.42,0.607,141.056,201627,4
